feature_name,decrease_in_impurity
kw_avg_avg,604.2537433
kw_max_avg,544.4321382
LDA_02,441.1502153
self_reference_min_shares,416.206407
LDA_04,410.4283981
kw_avg_max,408.9152227
LDA_01,407.684928
kw_avg_min,405.2341941
LDA_00,395.6827689
self_reference_avg_sharess,395.1471549
average_token_length,370.9029351
global_subjectivity,370.8949599
LDA_03,367.6154514
n_non_stop_unique_tokens,367.2398136
n_unique_tokens,367.0199555
kw_max_min,360.3313943
global_rate_positive_words,355.2574362
n_tokens_content,347.0645004
global_sentiment_polarity,345.3851786
avg_positive_polarity,345.1527612
avg_negative_polarity,326.2972806
self_reference_max_shares,321.1520281
global_rate_negative_words,318.0361988
kw_min_avg,317.7421533
num_hrefs,296.058707
rate_negative_words,282.1093059
rate_positive_words,280.5935604
kw_min_max,229.2016432
n_tokens_title,220.7142767
title_sentiment_polarity,206.0559728
num_imgs,204.0756976
min_negative_polarity,201.8423976
max_negative_polarity,191.9351162
num_self_hrefs,180.8436115
title_subjectivity,178.9948322
n_non_stop_words,171.9656557
min_positive_polarity,169.234847
abs_title_sentiment_polarity,165.6141251
abs_title_subjectivity,164.4013095
num_keywords,141.7810308
max_positive_polarity,141.6603602
is_weekend,127.1616458
data_channel_is_entertainment,115.3781822
num_videos,110.9734566
kw_max_max,107.0943644
kw_min_min,83.44823208
data_channel_is_world,82.51479605
data_channel_is_tech,72.81637764
data_channel_is_socmed,68.62695925
weekday_is_saturday,49.60835932
weekday_is_wednesday,45.5611724
weekday_is_tuesday,43.65422773
weekday_is_thursday,42.60072417
weekday_is_monday,41.86803822
weekday_is_friday,40.88408071
weekday_is_sunday,34.10077036
data_channel_is_bus,32.75660135
data_channel_is_lifestyle,24.80209547